id,name,year,description,category
1,Побег из Шоушенка,1994,Бухгалтер Энди Дюфрейн обвинен в убийстве собственной жены,1
2,Крестный отец,1972,"Эпическая гангстерская драма режиссёра Фрэнсиса Форда Копполы. Экранизация одноимённого романа Марио Пьюзо, изданного в 1969 году.",1
3,12 разгневанных мужчин,1957,"Юношу обвиняют в убийстве собственного отца, ему грозит электрический стул",1
4,Список Шиндлера,1993,"Историческая драма режиссёра Стивена Спилберга 1993 года о немецком бизнесмене и члене НСДАП Оскаре Шиндлере, спасшем более тысячи польских евреев от гибели во время Холокоста. ",1
5,Криминальное чтиво,1994,"Кинофильм режиссёра Квентина Тарантино. Сюжет фильма нелинеен, как и почти во всех остальных работах Тарантино.",1
6,"Хороший, плохой, злой",1966,"Спагетти-вестерн Серджо Леоне, завершающий «долларовую трилогию». Главные роли исполнили Клинт Иствуд, Илай Уоллак и Ли Ван Клиф.",1
7,Властелин колец: Братство кольца,2001,"Кинофильм 2001 года, первая часть кинотрилогии, снятой Питером Джексоном по роману Дж. Р. Р. Толкина «Властелин колец».",1
8,Бойцовский клуб,1999,"Американский кинофильм 1999 года режиссёра Дэвида Финчера по мотивам одноимённого романа Чака Паланика, вышедшего тремя годами ранее.",1
9,Форрест Гамп,1994,"Драма, девятый полнометражный фильм режиссёра Роберта Земекиса. Поставлен по одноимённому роману Уинстона Грума (1986), вышел на экраны в 1994 году. ",1
10,Звёздные войны. Эпизод 5: Империя наносит ответный удар,1980,--отсутствует--,1
11,Властелин колец: Две крепости,2002,--отсутствует--,1
12,Матрица,1999,--отсутствует--,1
13,Пролетая над гнездом кукушки,1975,"Художественный фильм-драма кинорежиссёра Милоша Формана, экранизация одноимённого романа Кена Кизи.",1
14,Назад в будущее,1985,Американский приключенческий фильм с элементами фантастики режиссёра Роберта Земекиса и исполнительных продюсеров Стивена Спилберга...,1
15,Операция «Ы» и другие приключения Шурика,1965,--отсутствует--,1
16,"Карты, деньги, два ствола",1998,--отсутствует--,1
17,Джентльмены удачи ,1971,--отсутствует--,1
18,Джанго освобожденный,2012,Художественный фильм 2012 года режиссёра Квентина Тарантино в жанре спагетти-вестерн с элементами комедии.,1
19,Generation П,2011,--отсутствует--,1
20,Колобок,1873,--отсутствует--,2
21,Страх и ненависть в Лас-Вегасе,1971,--отсутствует--,2
22,Война и мир,1865,--отсутствует--,2
23,Улисс,1918,--отсутствует--,2
24,Generation П,1999,--отсутствует--,2
25,Винни Пух и все-все-все,1926,--отсутствует--,2
26,Стас Михайлов - Позывные на любовь,2004,--отсутствует--,3
27,Led Zeppelin — Stairway to Heaven,1971,--отсутствует--,3
28,Jethro Tull - Aqualung,1971,--отсутствует--,3
29,Elvis Presley - Blue Suede Shoes,1955,--отсутствует--,3
30,Deep Purple — Smoke on the Water,1971,--отсутствует--,3
31,Моцарт - Турецкий марш,1784,--отсутствует--,3
32,Бах. Оркестровая Сюита №2 си минор,1739,Ансамбль солистов симфонического оркестра Московской государственной филармонии. Дирижер — Давид Ойстрах.,3
